date,steps
2022-08-16,5812
2022-08-17,2913
2022-08-18,3509
2022-08-19,9234
2022-08-20,4544
2022-08-21,1812
2022-08-22,2513
2022-08-23,16903
2022-08-24,13337
2022-08-25,18973
2022-08-26,10733
2022-08-27,391
2022-08-28,9355
2022-08-29,233
2022-08-30,526
2022-08-31,296
2022-09-01,2035
2022-09-02,8562
2022-09-03,5782
2022-09-04,9370
2022-09-05,9264
2022-09-06,2093
2022-09-07,776
2022-09-08,3059
2022-09-09,3266
2022-09-10,4083
2022-09-11,12730
2022-09-12,2636
2022-09-13,1333
2022-09-14,5387
2022-09-15,2220
2022-09-16,11404
2022-09-17,2215
2022-09-18,10886
2022-09-19,119
2022-09-20,4054
2022-09-21,1609
2022-09-22,198
2022-09-23,5553
2022-09-24,512
2022-09-25,5592
2022-09-26,200
2022-09-27,412
2022-09-28,430
2022-09-29,244
2022-09-30,3160
2022-10-01,393
2022-10-02,5911
2022-10-03,819
2022-10-04,1361
2022-10-05,971
2022-10-06,486
2022-10-07,2017
2022-10-08,1550
2022-10-09,13944
2022-10-10,1799
2022-10-11,2956
2022-10-12,2028
2022-10-13,3011
2022-10-14,595
2022-10-15,59
2022-10-16,2349
2022-10-17,2182
2022-10-18,3264
2022-10-19,1082
2022-10-20,1934
2022-10-21,2854
2022-10-22,1875
2022-10-23,7149
2022-10-24,693
2022-10-25,3806
2022-10-26,89
2022-10-27,1078
2022-10-28,4155
2022-10-29,3367
2022-10-30,2685
2022-10-31,2575
2022-11-01,635
2022-11-02,3436
2022-11-03,480
2022-11-04,176
2022-11-05,430
2022-11-06,5931
2022-11-07,5170
2022-11-08,2609
2022-11-09,3734
2022-11-10,24
2022-11-11,1526
2022-11-12,634
2022-11-13,1276
2022-11-14,885
2022-11-15,2442
2022-11-16,1798
2022-11-17,13
2022-11-18,1073
2022-11-19,1137
2022-11-20,3746
2022-11-21,5271
2022-11-22,1449
2022-11-23,40
2022-11-24,2874
2022-11-25,1151
2022-11-26,693
2022-11-27,1117
2022-11-28,1453
2022-11-29,3351
2022-11-30,165
2022-12-01,5166
2022-12-02,3406
2022-12-03,7868
2022-12-04,4630
2022-12-05,12192
2022-12-06,2569
2022-12-07,5672
2022-12-08,5255
2022-12-09,14055
2022-12-10,11399
2022-12-11,8377
2022-12-12,5340
2022-12-13,8476
2022-12-14,3718
2022-12-15,11823
2022-12-16,11324
2022-12-17,9467
2022-12-18,7893
2022-12-19,9076
2022-12-20,8309
2022-12-21,7267
2022-12-22,5961
2022-12-23,6903
2022-12-24,6206
2022-12-25,9625
2022-12-26,5947
2022-12-27,3688
2022-12-28,1109
2022-12-29,937
2022-12-30,2930
2022-12-31,9867
2023-01-01,7717
2023-01-02,937
2023-01-03,3574
2023-01-04,341
2023-01-05,4062
2023-01-06,13189
2023-01-07,3494
2023-01-08,2832
2023-01-09,9423
2023-01-10,6828
2023-01-11,12056
2023-01-12,7326
2023-01-13,7019
2023-01-14,2612
2023-01-15,4972
2023-01-16,8936
2023-01-17,7996
2023-01-18,5433
2023-01-19,7266
2023-01-20,18849
2023-01-21,12957
2023-01-22,19264
2023-01-23,6388
2023-01-24,23452
2023-01-25,18318
2023-01-26,5602
2023-01-27,5854
2023-01-28,5318
2023-01-29,5809
2023-01-30,3764
2023-01-31,9086
2023-02-01,4626
2023-02-02,16451
2023-02-03,11813
2023-02-04,3953
2023-02-05,14302
2023-02-06,16114
2023-02-07,9781
2023-02-08,17561
2023-02-09,12049
2023-02-10,9460
2023-02-11,1231
2023-02-12,2600
2023-02-13,12861
2023-02-14,12302
2023-02-15,9709
2023-02-16,3396
2023-02-17,5204
2023-02-18,914
2023-02-19,7857
2023-02-20,14478
2023-02-21,11232
2023-02-22,11131
2023-02-23,17202
2023-02-24,8797
2023-02-25,392
2023-02-26,8914
2023-02-27,9275
2023-02-28,2294
2023-03-01,11229
2023-03-02,9658
2023-03-03,2150
2023-03-04,7591
2023-03-05,14846
2023-03-06,5702
2023-03-07,4103
2023-03-08,2363
2023-03-09,2729
2023-03-10,1756
2023-03-11,11308
2023-03-12,10245
2023-03-13,9349
2023-03-14,9949
2023-03-15,7868
2023-03-16,5084
2023-03-17,19288
2023-03-18,9293
